event,time,tdcid,chnlid,tdcid_bits,channel_bits,time_bits
25,1,2,1,0010,00001,00000000000000001
13,80,1,13,0001,01101,00000000001010000
28,232,2,4,0010,00100,00000000011101000
115,251,5,19,0101,10011,00000000011111011
51,255,3,3,0011,00011,00000000011111111
28,387,2,4,0010,00100,00000000110000011
64,399,3,16,0011,10000,00000000110001111
79,410,4,7,0100,00111,00000000110011010
128,482,6,8,0110,01000,00000000111100010
18,492,1,18,0001,10010,00000000111101100
107,502,5,11,0101,01011,00000000111110110
115,511,5,19,0101,10011,00000000111111111
54,555,3,6,0011,00110,00000001000101011
42,645,2,18,0010,10010,00000001010000101
7,689,1,7,0001,00111,00000001010110001
44,762,2,20,0010,10100,00000001011111010
66,867,3,18,0011,10010,00000001101100011
75,883,4,3,0100,00011,00000001101110011
62,885,3,14,0011,01110,00000001101110101
78,887,4,6,0100,00110,00000001101110111
91,889,4,19,0100,10011,00000001101111001
36,895,2,12,0010,01100,00000001101111111
137,922,6,17,0110,10001,00000001110011010
125,926,6,5,0110,00101,00000001110011110
125,947,6,5,0110,00101,00000001110110011
90,965,4,18,0100,10010,00000001111000101
78,979,4,6,0100,00110,00000001111010011
85,1073,4,13,0100,01101,00000010000110001
17,1079,1,17,0001,10001,00000010000110111
131,1088,6,11,0110,01011,00000010001000000
45,1106,2,21,0010,10101,00000010001010010
52,1126,3,4,0011,00100,00000010001100110
95,1247,4,23,0100,10111,00000010011011111
44,1329,2,20,0010,10100,00000010100110001
120,1335,6,0,0110,00000,00000010100110111
69,1416,3,21,0011,10101,00000010110001000
89,1433,4,17,0100,10001,00000010110011001
127,1468,6,7,0110,00111,00000010110111100
99,1508,5,3,0101,00011,00000010111100100
9,1532,1,9,0001,01001,00000010111111100
134,1578,6,14,0110,01110,00000011000101010
111,1611,5,15,0101,01111,00000011001001011
133,1651,6,13,0110,01101,00000011001110011
37,1661,2,13,0010,01101,00000011001111101
15,1783,1,15,0001,01111,00000011011110111
137,1813,6,17,0110,10001,00000011100010101
138,1823,6,18,0110,10010,00000011100011111
46,1824,2,22,0010,10110,00000011100100000
71,1865,3,23,0011,10111,00000011101001001
45,1929,2,21,0010,10101,00000011110001001
26,2039,2,2,0010,00010,00000011111110111
57,2086,3,9,0011,01001,00000100000100110
123,2112,6,3,0110,00011,00000100001000000
66,2118,3,18,0011,10010,00000100001000110
69,2126,3,21,0011,10101,00000100001001110
29,2144,2,5,0010,00101,00000100001100000
48,2149,3,0,0011,00000,00000100001100101
29,2187,2,5,0010,00101,00000100010001011
143,2229,6,23,0110,10111,00000100010110101
28,2242,2,4,0010,00100,00000100011000010
63,2274,3,15,0011,01111,00000100011100010
58,2318,3,10,0011,01010,00000100100001110
128,2376,6,8,0110,01000,00000100101001000
23,2413,1,23,0001,10111,00000100101101101
108,2448,5,12,0101,01100,00000100110010000
70,2530,3,22,0011,10110,00000100111100010
118,2573,5,22,0101,10110,00000101000001101
10,2574,1,10,0001,01010,00000101000001110
121,2624,6,1,0110,00001,00000101001000000
55,2705,3,7,0011,00111,00000101010010001
140,2785,6,20,0110,10100,00000101011100001
43,2809,2,19,0010,10011,00000101011111001
31,2860,2,7,0010,00111,00000101100101100
59,2888,3,11,0011,01011,00000101101001000
137,2898,6,17,0110,10001,00000101101010010
116,3126,5,20,0101,10100,00000110000110110
30,3131,2,6,0010,00110,00000110000111011
3,3135,1,3,0001,00011,00000110000111111
21,3145,1,21,0001,10101,00000110001001001
127,3186,6,7,0110,00111,00000110001110010
76,3213,4,4,0100,00100,00000110010001101
87,3221,4,15,0100,01111,00000110010010101
11,3287,1,11,0001,01011,00000110011010111
14,3313,1,14,0001,01110,00000110011110001
95,3383,4,23,0100,10111,00000110100110111
82,3387,4,10,0100,01010,00000110100111011
87,3392,4,15,0100,01111,00000110101000000
32,3454,2,8,0010,01000,00000110101111110
31,3488,2,7,0010,00111,00000110110100000
118,3566,5,22,0101,10110,00000110111101110
31,3666,2,7,0010,00111,00000111001010010
9,3698,1,9,0001,01001,00000111001110010
62,3717,3,14,0011,01110,00000111010000101
127,3737,6,7,0110,00111,00000111010011001
15,3797,1,15,0001,01111,00000111011010101
40,3798,2,16,0010,10000,00000111011010110
27,3815,2,3,0010,00011,00000111011100111
45,3886,2,21,0010,10101,00000111100101110
91,3912,4,19,0100,10011,00000111101001000
36,3966,2,12,0010,01100,00000111101111110
109,4019,5,13,0101,01101,00000111110110011
25,4062,2,1,0010,00001,00000111111011110
25,4082,2,1,0010,00001,00000111111110010
13,4108,1,13,0001,01101,00001000000001100
91,4204,4,19,0100,10011,00001000001101100
105,4251,5,9,0101,01001,00001000010011011
76,4418,4,4,0100,00100,00001000101000010
28,4422,2,4,0010,00100,00001000101000110
28,4425,2,4,0010,00100,00001000101001001
134,4483,6,14,0110,01110,00001000110000011
65,4680,3,17,0011,10001,00001001001001000
26,4694,2,2,0010,00010,00001001001010110
43,4886,2,19,0010,10011,00001001100010110
42,4932,2,18,0010,10010,00001001101000100
78,4940,4,6,0100,00110,00001001101001100
15,4972,1,15,0001,01111,00001001101101100
65,4993,3,17,0011,10001,00001001110000001
77,5126,4,5,0100,00101,00001010000000110
48,5220,3,0,0011,00000,00001010001100100
127,5236,6,7,0110,00111,00001010001110100
137,5247,6,17,0110,10001,00001010001111111
70,5291,3,22,0011,10110,00001010010101011
48,5345,3,0,0011,00000,00001010011100001
131,5432,6,11,0110,01011,00001010100111000
71,5448,3,23,0011,10111,00001010101001000
118,5474,5,22,0101,10110,00001010101100010
65,5476,3,17,0011,10001,00001010101100100
50,5476,3,2,0011,00010,00001010101100100
62,5476,3,14,0011,01110,00001010101100100
120,5540,6,0,0110,00000,00001010110100100
70,5541,3,22,0011,10110,00001010110100101
45,5604,2,21,0010,10101,00001010111100100
0,5613,1,0,0001,00000,00001010111101101
106,5714,5,10,0101,01010,00001011001010010
45,5768,2,21,0010,10101,00001011010001000
50,5779,3,2,0011,00010,00001011010010011
29,5830,2,5,0010,00101,00001011011000110
84,5858,4,12,0100,01100,00001011011100010
23,5877,1,23,0001,10111,00001011011110101
15,5885,1,15,0001,01111,00001011011111101
72,5911,4,0,0100,00000,00001011100010111
70,5984,3,22,0011,10110,00001011101100000
97,6010,5,1,0101,00001,00001011101111010
103,6231,5,7,0101,00111,00001100001010111
138,6235,6,18,0110,10010,00001100001011011
81,6244,4,9,0100,01001,00001100001100100
120,6272,6,0,0110,00000,00001100010000000
13,6322,1,13,0001,01101,00001100010110010
102,6339,5,6,0101,00110,00001100011000011
91,6373,4,19,0100,10011,00001100011100101
33,6549,2,9,0010,01001,00001100110010101
59,6558,3,11,0011,01011,00001100110011110
1,6566,1,1,0001,00001,00001100110100110
29,6575,2,5,0010,00101,00001100110101111
80,6594,4,8,0100,01000,00001100111000010
7,6626,1,7,0001,00111,00001100111100010
75,6823,4,3,0100,00011,00001101010100111
7,6831,1,7,0001,00111,00001101010101111
28,7002,2,4,0010,00100,00001101101011010
68,7054,3,20,0011,10100,00001101110001110
90,7130,4,18,0100,10010,00001101111011010
3,7152,1,3,0001,00011,00001101111110000
2,7153,1,2,0001,00010,00001101111110001
115,7163,5,19,0101,10011,00001101111111011
11,7188,1,11,0001,01011,00001110000010100
139,7189,6,19,0110,10011,00001110000010101
49,7231,3,1,0011,00001,00001110000111111
101,7261,5,5,0101,00101,00001110001011101
44,7320,2,20,0010,10100,00001110010011000
114,7358,5,18,0101,10010,00001110010111110
143,7428,6,23,0110,10111,00001110100000100
38,7469,2,14,0010,01110,00001110100101101
95,7492,4,23,0100,10111,00001110101000100
28,7546,2,4,0010,00100,00001110101111010
108,7580,5,12,0101,01100,00001110110011100
24,7675,2,0,0010,00000,00001110111111011
83,7687,4,11,0100,01011,00001111000000111
5,7747,1,5,0001,00101,00001111001000011
50,7800,3,2,0011,00010,00001111001111000
91,7818,4,19,0100,10011,00001111010001010
50,7873,3,2,0011,00010,00001111011000001
125,7938,6,5,0110,00101,00001111100000010
107,7982,5,11,0101,01011,00001111100101110
124,7996,6,4,0110,00100,00001111100111100
48,8014,3,0,0011,00000,00001111101001110
26,8072,2,2,0010,00010,00001111110001000
124,8167,6,4,0110,00100,00001111111100111
14,8238,1,14,0001,01110,00010000000101110
130,8322,6,10,0110,01010,00010000010000010
45,8342,2,21,0010,10101,00010000010010110
13,8370,1,13,0001,01101,00010000010110010
13,8393,1,13,0001,01101,00010000011001001
106,8460,5,10,0101,01010,00010000100001100
131,8481,6,11,0110,01011,00010000100100001
1,8540,1,1,0001,00001,00010000101011100
